time (epoch),weight (kg)
1480939200.0,61.79
1480940100.0,61.73
1480941000.0,61.68
1480941900.0,61.61
1480942800.0,61.56
1480943700.0,61.49
1480944600.0,61.43
1480945500.0,61.35
1480946400.0,61.28
1480947300.0,61.22
1480948200.0,61.14
1480949100.0,61.1
1480950000.0,61.05
1480950900.0,61.05
1480951800.0,61.01
1480952700.0,60.98
1480953600.0,60.97
1480954500.0,60.88
1480955400.0,60.8
1480956300.0,60.68
1480957200.0,60.64
1480958100.0,60.58
1480959000.0,60.5
1480959900.0,60.47
1480960800.0,60.4
1480961700.0,60.24
1480962600.0,60.24
1480963500.0,60.22
1480964400.0,60.22
1480965300.0,60.19
1480966200.0,60.18
1480967100.0,60.19
1480968000.0,60.17
1480968900.0,60.19
1480969800.0,60.17
1480970700.0,60.16
1480971600.0,60.08
1480972500.0,60.06
1480973400.0,59.95
1480974300.0,60.0
1480975200.0,59.97
1480976100.0,59.95
1480977000.0,59.94
1480977900.0,59.92
1480978800.0,59.94
1480979700.0,59.93
1480980600.0,59.92
1480981500.0,59.91
1480982400.0,59.89
1480983300.0,59.9
1480984200.0,59.91
1480985100.0,59.91
1480986000.0,59.92
1480986900.0,59.91
1480987800.0,59.91
1480988700.0,59.89
1480989600.0,59.9
1480990500.0,59.89
1480991400.0,59.89
1480992300.0,59.9
1480993200.0,59.9
1480994100.0,59.9
1480995000.0,59.91
1480995900.0,59.9
1480996800.0,59.88
1480997700.0,59.9
1480998600.0,59.89
1480999500.0,59.9
1481000400.0,59.88
1481001300.0,59.88
1481002200.0,59.91
1481003100.0,59.88
1481004000.0,59.9
1481004900.0,59.89
1481005800.0,59.85
1481006700.0,59.92
1481007600.0,59.9
1481008500.0,59.91
1481009400.0,59.87
1481010300.0,59.87
1481011200.0,59.9
1481012100.0,59.88
1481013000.0,59.91
1481013900.0,59.89
1481014800.0,59.89
1481015700.0,59.89
1481016600.0,59.89
1481017500.0,59.87
1481018400.0,59.88
1481019300.0,59.87
1481020200.0,59.9
1481021100.0,59.87
1481022000.0,59.88
1481022900.0,59.89
1481023800.0,59.91
1481024700.0,59.88
1481025600.0,59.89
1481026500.0,59.91
1481027400.0,59.88
1481028300.0,59.91
1481029200.0,59.88
1481030100.0,59.88
1481031000.0,59.88
1481031900.0,59.89
1481032800.0,59.93
1481033700.0,59.96
1481034600.0,59.97
1481035500.0,59.99
1481036400.0,59.99
1481037300.0,59.99
1481038200.0,59.97
1481039100.0,59.98
1481040000.0,59.96
1481040900.0,59.97
1481041800.0,59.93
1481042700.0,60.02
1481043600.0,60.1
